City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall,Snowfall
117,Tura,IN,2020-07-13 01:51:38,25.52,90.22,75.38,97,100,5.28,light rain,0.11,0
118,Caravelas,BR,2020-07-13 01:55:01,-17.71,-39.25,69.55,89,100,2.55,overcast clouds,0.0,0
119,Bay Roberts,CA,2020-07-13 01:55:03,47.6,-53.26,59.0,1,100,14.0,moderate rain,1.22,0
120,Brae,GB,2020-07-13 01:55:03,60.4,-1.35,53.6,87,100,11.41,light rain,0.0,0
121,Ponta Do Sol,PT,2020-07-13 01:55:03,32.67,-17.1,68.0,68,20,8.05,few clouds,0.0,0
122,Seoul,KR,2020-07-13 01:53:16,37.57,126.98,68.0,93,90,3.36,light rain,0.0,0
123,Black River,JM,2020-07-13 01:55:04,18.03,-77.85,81.0,83,20,4.7,few clouds,0.0,0
124,Russas,BR,2020-07-13 01:55:04,-4.94,-37.98,73.47,76,11,5.66,few clouds,0.0,0
125,Coihaique,CL,2020-07-13 01:50:42,-45.58,-72.07,30.2,86,51,3.36,broken clouds,0.0,0
126,Kasongo,CD,2020-07-13 01:55:04,-4.45,26.67,70.18,78,5,3.36,clear sky,0.0,0
127,Ribeira Grande,PT,2020-07-13 01:55:06,38.52,-28.7,68.72,81,8,15.7,clear sky,0.0,0
128,Annaka,JP,2020-07-13 01:55:06,36.32,138.9,78.01,94,85,1.01,overcast clouds,0.0,0
129,Neuquen,AR,2020-07-13 01:51:18,-38.95,-68.06,44.6,45,100,6.93,overcast clouds,0.0,0
130,Yellowknife,CA,2020-07-13 01:55:07,62.46,-114.35,71.6,43,75,6.93,broken clouds,0.0,0
131,Mecca,SA,2020-07-13 01:52:19,21.43,39.83,78.46,36,75,3.36,broken clouds,0.0,0
132,Esperance,AU,2020-07-13 01:55:07,-33.87,121.9,53.6,54,0,21.92,clear sky,0.0,0
133,Lorengau,PG,2020-07-13 01:55:07,-2.02,147.27,86.47,59,75,5.03,broken clouds,0.0,0
134,Grand Gaube,MU,2020-07-13 01:55:07,-20.01,57.66,72.0,76,2,5.99,light rain,0.16,0
135,Ukiah,US,2020-07-13 01:53:55,39.15,-123.21,93.2,21,1,6.93,clear sky,0.0,0
136,Kaitangata,NZ,2020-07-13 01:55:08,-46.28,169.85,46.99,66,25,4.0,scattered clouds,0.0,0
137,Masallatah,LY,2020-07-13 01:55:08,32.62,14.0,68.05,82,0,0.11,clear sky,0.0,0
138,Sisimiut,GL,2020-07-13 01:55:08,66.94,-53.67,49.06,67,50,11.9,scattered clouds,0.0,0
139,Batagay-Alyta,RU,2020-07-13 01:55:09,67.8,130.41,77.7,44,33,3.85,scattered clouds,0.0,0
140,Coron,PH,2020-07-13 01:55:09,12.0,120.2,87.94,62,100,2.68,overcast clouds,0.0,0
141,Pacific Grove,US,2020-07-13 01:55:09,36.62,-121.92,77.0,46,1,8.05,clear sky,0.0,0
142,Nantucket,US,2020-07-13 01:54:24,41.28,-70.1,70.0,88,1,11.41,clear sky,0.0,0
143,Tahta,EG,2020-07-13 01:55:09,26.77,31.5,75.6,53,0,7.45,clear sky,0.0,0
144,Coquimbo,CL,2020-07-13 01:55:10,-29.95,-71.34,53.6,87,48,1.12,scattered clouds,0.0,0
145,Ust-Nera,RU,2020-07-13 01:55:10,64.57,143.2,74.82,48,94,8.66,light rain,0.14,0
146,Mezen,RU,2020-07-13 01:55:10,65.85,44.24,50.81,85,19,2.53,few clouds,0.0,0
147,Fukue,JP,2020-07-13 01:55:10,32.69,128.84,78.8,94,75,13.87,broken clouds,0.0,0
148,Vanavara,RU,2020-07-13 01:55:10,60.34,102.28,74.8,49,20,1.43,few clouds,0.0,0
149,San-Pedro,CI,2020-07-13 01:55:11,4.75,-6.64,73.45,83,71,4.63,broken clouds,0.0,0
150,Nyurba,RU,2020-07-13 01:55:11,63.28,118.33,65.16,90,100,0.16,overcast clouds,0.0,0
151,Usinsk,RU,2020-07-13 01:55:11,65.99,57.53,48.52,88,94,18.52,overcast clouds,0.0,0
152,Taltal,CL,2020-07-13 01:55:11,-25.4,-70.48,54.79,78,33,3.09,scattered clouds,0.0,0
153,Upernavik,GL,2020-07-13 01:55:12,72.79,-56.15,41.27,89,77,8.77,broken clouds,0.0,0
154,Cherskiy,RU,2020-07-13 01:54:25,68.75,161.3,55.2,85,100,2.71,overcast clouds,0.0,0
155,Grand Falls,CA,2020-07-13 01:55:12,47.05,-67.74,71.6,83,1,6.93,clear sky,0.0,0
156,Bada,RU,2020-07-13 01:55:12,51.39,109.87,70.12,71,99,2.01,light rain,0.19,0
157,Guiglo,CI,2020-07-13 01:55:12,6.55,-7.5,71.08,95,98,2.71,overcast clouds,0.0,0
158,Sioux Lookout,CA,2020-07-13 01:55:13,50.1,-91.92,71.6,56,75,4.7,broken clouds,0.0,0
159,Vao,NC,2020-07-13 01:54:27,-22.67,167.48,72.19,78,98,18.16,overcast clouds,0.0,0
160,Paamiut,GL,2020-07-13 01:55:13,61.99,-49.67,44.58,84,100,12.24,light rain,0.27,0
161,Aklavik,CA,2020-07-13 01:55:13,68.22,-135.01,57.2,71,90,2.24,overcast clouds,0.0,0
162,Ranong,TH,2020-07-13 01:55:14,9.97,98.63,77.0,94,75,5.84,broken clouds,0.0,0
163,Shwebo,MM,2020-07-13 01:55:14,22.57,95.7,78.19,87,100,11.68,light rain,0.98,0
164,Junnar,IN,2020-07-13 01:55:14,19.2,73.88,73.6,85,99,7.07,overcast clouds,0.0,0
165,Porto Novo,BJ,2020-07-13 01:55:14,6.5,2.6,75.06,87,100,6.96,overcast clouds,0.0,0
166,Muhos,FI,2020-07-13 01:55:15,64.81,25.99,53.6,93,100,3.36,overcast clouds,0.0,0
167,Zhangjiakou,CN,2020-07-13 01:55:15,40.81,114.88,65.28,81,100,2.33,light rain,0.58,0
168,Pietarsaari,FI,2020-07-13 01:55:15,63.65,22.68,53.01,100,20,3.36,light intensity shower rain,0.0,0
169,Ingham,US,2020-07-13 01:54:08,42.6,-84.38,75.2,68,75,3.36,broken clouds,0.0,0
170,Soyo,AO,2020-07-13 01:55:15,-6.13,12.37,71.96,81,85,6.78,overcast clouds,0.0,0
171,Nanakuli,US,2020-07-13 01:55:16,21.39,-158.15,86.0,45,1,11.41,clear sky,0.0,0
172,Karratha,AU,2020-07-13 01:55:16,-20.74,116.85,71.13,22,0,18.63,clear sky,0.0,0
173,Severo-Kurilsk,RU,2020-07-13 01:55:16,50.68,156.12,51.22,88,98,9.95,overcast clouds,0.0,0
174,Barentu,ER,2020-07-13 01:55:16,15.11,37.59,69.08,80,24,8.28,few clouds,0.0,0
175,Aitape,PG,2020-07-13 01:55:16,-3.14,142.35,84.76,64,98,3.96,overcast clouds,0.0,0
176,Deputatskiy,RU,2020-07-13 01:54:19,69.3,139.9,72.55,43,73,8.28,broken clouds,0.0,0
177,Palana,RU,2020-07-13 01:55:17,59.12,159.97,56.48,88,81,5.64,broken clouds,0.0,0
178,Narsaq,GL,2020-07-13 01:55:17,60.92,-46.05,51.8,57,100,4.7,light rain,0.0,0
179,Huanren,CN,2020-07-13 01:55:18,41.26,125.37,80.49,69,100,0.98,light rain,0.74,0
180,Boffa,GN,2020-07-13 01:55:18,10.17,-14.03,73.26,96,94,2.95,moderate rain,3.39,0
