City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Manitowoc,US,2020-07-11 23:12:17,44.07,-87.8,81.0,61,90,6.93
113,Whitehorse,CA,2020-07-11 23:11:11,60.72,-135.05,60.8,48,75,8.05
114,Ola,RU,2020-07-11 23:13:49,59.58,151.28,60.46,74,10,1.36
115,Antalaha,MG,2020-07-11 23:13:50,-14.9,50.28,70.12,86,65,8.68
116,Haines Junction,CA,2020-07-11 23:13:52,60.75,-137.51,59.9,47,100,7.92
117,Lyubinskiy,RU,2020-07-11 23:13:54,55.15,72.69,66.2,77,75,2.24
118,Sisimiut,GL,2020-07-11 23:13:56,66.94,-53.67,46.11,72,64,4.7
119,Itarema,BR,2020-07-11 23:13:58,-2.92,-39.92,76.95,78,2,10.33
120,Avarua,CK,2020-07-11 23:11:20,-21.21,-159.78,77.0,78,96,6.93
121,Kalianget,ID,2020-07-11 23:14:02,-7.05,113.93,78.44,81,34,4.12
122,Totness,SR,2020-07-11 23:14:06,5.88,-56.32,79.54,85,74,12.15
123,Kribi,CM,2020-07-11 23:14:07,2.95,9.92,75.88,90,97,6.42
124,Lewistown,US,2020-07-11 23:14:08,40.6,-77.57,79.0,78,20,8.05
125,Baykit,RU,2020-07-11 23:14:09,61.67,96.37,53.74,84,14,3.85
126,Kyabe,TD,2020-07-11 23:14:11,9.45,18.94,72.19,94,99,4.85
127,Seymchan,RU,2020-07-11 23:14:11,62.88,152.43,71.35,45,55,9.46
128,Lima,PE,2020-07-11 23:12:05,-12.04,-77.03,62.6,72,75,8.05
129,Whitecourt,CA,2020-07-11 23:14:13,54.15,-115.69,71.6,46,75,10.29
130,Nargana,PA,2020-07-11 23:14:14,9.44,-78.59,79.03,81,100,7.05
131,Vallenar,CL,2020-07-11 23:14:16,-28.57,-70.76,64.89,47,23,0.51
132,Grindavik,IS,2020-07-11 23:14:17,63.84,-22.43,48.2,100,90,12.75
133,Faya,SA,2020-07-11 23:14:18,18.39,42.45,77.0,31,61,3.27
134,Bambous Virieux,MU,2020-07-11 23:14:19,-20.34,57.76,72.0,77,40,16.11
135,Caravelas,BR,2020-07-11 23:14:20,-17.71,-39.25,71.19,83,13,4.23
136,Valparaiso,CL,2020-07-11 23:13:45,-33.04,-71.63,53.6,87,81,5.82
137,Bilma,NE,2020-07-11 23:14:22,18.69,12.92,90.14,31,58,12.55
138,Coihaique,CL,2020-07-11 23:14:23,-45.58,-72.07,32.0,95,40,3.36
139,Timana,CO,2020-07-11 23:14:24,1.97,-75.93,68.77,81,6,2.01
140,Leeton,AU,2020-07-11 23:14:25,-34.57,146.4,42.8,100,90,2.84
141,Mongu,ZM,2020-07-11 23:14:26,-15.25,23.13,57.18,33,0,8.5
142,Horta,PT,2020-07-11 23:14:27,38.53,-28.63,69.51,85,41,10.58
143,Kabanjahe,ID,2020-07-11 23:14:28,3.1,98.49,75.2,100,75,2.55
144,Magan,ES,2020-07-11 23:14:29,39.97,-3.93,82.99,48,20,14.99
145,Vuktyl,RU,2020-07-11 23:14:30,63.86,57.31,57.09,69,74,5.82
146,Pevek,RU,2020-07-11 23:14:31,69.7,170.31,49.6,77,72,4.99
147,Mahebourg,MU,2020-07-11 23:14:32,-20.41,57.7,69.8,77,40,16.11
148,Prabumulih,ID,2020-07-11 23:14:33,-3.45,104.25,71.69,99,34,2.86
149,Jibuti,DJ,2020-07-11 23:14:34,11.5,42.5,98.6,25,40,4.94
150,Katsuura,JP,2020-07-11 23:14:36,35.13,140.3,84.2,74,75,6.93
151,Lerwick,GB,2020-07-11 23:13:53,60.15,-1.15,51.8,100,93,19.46
152,Leningradskiy,RU,2020-07-11 23:14:38,69.38,178.42,46.96,61,0,16.17
153,Port Hardy,CA,2020-07-11 23:14:39,50.7,-127.42,57.2,93,75,6.93
154,Hamilton,US,2020-07-11 23:12:04,39.18,-84.53,86.0,45,40,9.17
155,Constitucion,CL,2020-07-11 23:14:41,-35.33,-72.42,49.19,71,97,3.78
156,Sitka,US,2020-07-11 23:14:42,57.05,-135.33,57.2,82,75,4.7
157,Noshiro,JP,2020-07-11 23:14:43,40.2,140.02,64.4,93,75,6.93
158,Urengoy,RU,2020-07-11 23:14:44,65.97,78.37,53.24,72,6,5.66
159,Iqaluit,CA,2020-07-11 23:14:45,63.75,-68.51,41.0,93,90,2.24
160,Port Blair,IN,2020-07-11 23:14:46,11.67,92.75,82.04,81,100,9.42
161,Bosaso,SO,2020-07-11 23:14:47,11.28,49.18,93.31,40,85,17.36
162,Zabol,AF,2020-07-11 23:14:49,32.25,67.25,65.5,25,0,2.39
163,Lieksa,FI,2020-07-11 23:14:50,63.32,30.02,53.67,87,100,12.44
164,Sharjah,AE,2020-07-11 23:14:51,25.36,55.4,96.01,74,100,4.7
165,Hobart,AU,2020-07-11 23:10:53,-42.88,147.33,46.0,93,90,5.82
166,Arenal,CO,2020-07-11 23:14:53,8.46,-73.94,81.1,78,100,2.8
167,Korla,CN,2020-07-11 23:14:53,41.76,86.15,72.57,24,0,14.34
168,Teya,RU,2020-07-11 23:14:54,60.38,92.63,56.64,72,14,7.18
169,Resplendor,BR,2020-07-11 23:14:55,-19.33,-41.26,66.9,77,39,2.28
170,Yuanping,CN,2020-07-11 23:14:56,38.72,112.76,64.13,92,100,2.06
171,Kodiak,US,2020-07-11 23:14:57,57.79,-152.41,66.2,59,20,6.93
172,Dauriya,RU,2020-07-11 23:14:58,49.93,116.87,68.56,72,67,16.35
173,Qaanaaq,GL,2020-07-11 23:14:59,77.48,-69.36,46.51,57,14,2.82
